t (s),V (mV)
0,14.9244
1,14.9165
2,14.9075
3,14.8979
4,14.8887
5,14.8787
6,14.8697
6.999,14.8594
8,14.8511
9,14.8395
10,14.8293
11,14.8206
12,14.8096
13,14.7999
13.999,14.789
14.999,14.779
16,14.7688
17,14.7587
18,14.7485
19,14.7377
20,14.7271
21,14.7173
22,14.7063
23,14.6948
24,14.6847
25,14.675
26,14.663
27,14.6529
28,14.6425
29,14.6318
30,14.6205
31,14.6103
32,14.601
32.999,14.5904
34,14.5798
35,14.5695
36,14.559
37,14.5486
38,14.5385
39,14.5279
40,14.5175
41,14.5071
41.999,14.497
42.999,14.4865
44,14.4764
45,14.4661
46,14.4553
47,14.4447
48,14.4348
48.999,14.4256
49.999,14.4146
51,14.4044
52,14.3936
53,14.3834
54,14.3744
55,14.3628
56,14.3541
57,14.3449
58,14.3352
59,14.3241
60,14.3145
61,14.303
62,14.2931
63,14.2839
63.999,14.2732
64.999,14.2635
66,14.2544
67,14.2435
68,14.2337
69,14.2241
70,14.2144
71,14.2033
71.999,14.1928
73,14.1828
74,14.1715
75,14.1639
76,14.1535
77,14.1435
78,14.1319
79,14.1229
80,14.1137
81,14.1033
82,14.0934
83,14.083
84,14.074
85,14.0641
86,14.0534
87,14.0444
88,14.0336
89,14.025
90,14.0143
91,14.006
92,13.9956
93,13.9855
93.999,13.9746
94.999,13.9653
96,13.9559
97,13.9451
98,13.9365
98.999,13.9258
99.999,13.9161
101,13.9062
102,13.8961
103,13.8875
104,13.8779
104.999,13.8674
106,13.8583
107,13.8487
108,13.8397
108.999,13.8292
109.999,13.821
110.999,13.8107
112,13.8009
113,13.7913
114,13.7816
115,13.7734
116,13.763
117,13.7535
117.999,13.7434
119,13.7336
120,13.7242
121,13.716
121.999,13.7056
123,13.6961
124,13.6872
125,13.6784
126,13.6689
126.999,13.6609
128,13.6511
129,13.6416
130,13.6329
131,13.6246
132.001,13.6147
132.999,13.6065
134,13.5969
135,13.5877
136,13.579
137,13.5705
137.999,13.5632
139,13.5529
140,13.5449
141,13.5357
142,13.5281
143,13.5193
144,13.5099
145,13.5015
145.999,13.4916
147,13.4824
148,13.4736
149,13.4649
149.999,13.4554
151,13.4464
152,13.4376
153,13.428
154,13.42
155,13.4106
155.999,13.4004
157,13.3926
158,13.383
159,13.3754
159.999,13.3651
161,13.3567
162,13.3489
162.999,13.3384
164,13.3306
165,13.3211
165.999,13.3119
167,13.3035
168,13.2958
169,13.2868
169.999,13.2758
171,13.2688
172,13.2592
173,13.2507
174,13.243
175,13.2334
176,13.2256
177,13.217
177.999,13.2076
179,13.1996
180,13.1915
180.999,13.1836
182,13.1744
183,13.1648
184,13.1579
185,13.1492
186,13.14
187,13.1322
188,13.1241
188.999,13.1154
190,13.1081
191,13.0985
192,13.0901
193,13.0821
193.999,13.0728
195,13.0645
196,13.0563
197,13.0491
198,13.0392
199,13.0307
200,13.0233
201,13.0148
202,13.0058
203,12.9986
204,12.9889
204.999,12.9815
206,12.9727
207,12.9648
207.999,12.9565
209,12.9482
210,12.9393
211,12.9316
212,12.9228
213,12.9141
214,12.9056
214.999,12.8971
216,12.8898
217,12.8807
217.999,12.8732
219,12.8645
220,12.8555
221,12.8477
222,12.8389
223,12.831
224,12.8224
225,12.8144
225.999,12.8063
227,12.7984
228,12.7902
229,12.782
230,12.7738
231,12.7663
232,12.7572
233,12.7505
234,12.7412
235,12.7339
236,12.7257
237,12.7165
238,12.7099
239,12.702
240,12.694
241,12.6861
242,12.6782
243,12.6697
244,12.6618
245,12.6537
245.999,12.6457
247,12.638
248,12.6303
249,12.6219
250,12.614
251,12.6063
252,12.5989
253,12.5906
254,12.5842
254.999,12.5756
256,12.5683
256.999,12.5595
258,12.5517
259,12.5448
260,12.5378
261,12.5291
262,12.5206
263,12.5142
264,12.5055
265,12.4985
266,12.4908
267,12.4823
268,12.4761
269,12.4683
270,12.4612
270.999,12.4535
272,12.4464
272.999,12.4389
274,12.4309
275,12.4228
276,12.416
277,12.4071
278,12.3998
279,12.3924
279.999,12.3848
281,12.3766
282,12.3676
283,12.3604
284,12.3525
285,12.3455
286,12.3368
287,12.3295
288,12.3217
289,12.3148
290,12.3065
291,12.2988
292,12.2912
293,12.283
294,12.2748
295,12.2673
296,12.2593
297,12.2518
298.001,12.2446
299,12.2363
300,12.2295
301,12.2221
302,12.2148
303,12.2079
304,12.1993
305,12.1926
306,12.1822
307,12.177
307.999,12.1691
309,12.1611
310,12.1541
311,12.1478
312,12.1388
313,12.133
314,12.1258
315,12.1187
316,12.1112
317,12.1047
318,12.0966
319,12.0902
320,12.0831
321,12.0766
322,12.0687
322.999,12.0608
324,12.0542
325,12.0465
326,12.0407
327,12.032
328.001,12.0249
329,12.016
330,12.0085
331,12.003
332,11.9959
333,11.9884
334,11.9806
335,11.9736
336,11.9663
337,11.9593
338,11.9521
338.999,11.9447
340,11.9376
341,11.9311
342,11.9244
343,11.9171
344,11.9101
345,11.9035
346,11.8955
347,11.8886
348,11.8818
349,11.8748
350,11.8672
351,11.86
351.999,11.8525
353,11.8455
354,11.8373
355,11.8312
356,11.8242
357,11.8181
358,11.8106
358.999,11.8034
360,11.7957
361,11.7879
362,11.7824
363,11.7748
364,11.7675
364.999,11.76
366,11.7546
366.999,11.7457
368,11.739
368.999,11.7322
370,11.7252
371,11.7172
372,11.7103
373,11.7034
373.999,11.6962
375,11.6891
376,11.6814
377,11.6752
378.001,11.6683
379,11.6614
380,11.6538
381,11.6468
381.999,11.6401
383,11.6342
384,11.6267
384.999,11.6196
386,11.6126
387,11.6059
388,11.5985
389,11.5913
390,11.5852
391,11.5747
392,11.5707
393,11.5632
394,11.5576
395,11.5496
396,11.5438
397,11.5366
397.999,11.5285
399,11.5217
400,11.5149
401,11.5081
402,11.5017
403,11.4952
404,11.4877
405,11.4818
406,11.4736
407,11.4663
408,11.4608
409,11.4531
410,11.4475
411,11.4404
412,11.4339
413,11.4278
414,11.4204
415,11.4137
415.999,11.4067
417,11.4011
418,11.3929
418.999,11.3881
420,11.3807
421,11.3751
421.999,11.3675
423,11.3617
424,11.3556
425,11.3485
425.999,11.3421
427,11.3347
428,11.329
429,11.3225
430,11.3141
431,11.3082
432,11.3015
433,11.2946
433.999,11.2893
435,11.2812
436,11.2741
437,11.2672
438,11.2608
439,11.2541
440,11.2478
441,11.2406
441.999,11.2345
443,11.2276
444,11.2209
445,11.2137
446,11.2078
447,11.2012
448,11.1944
449,11.188
450,11.1814
451,11.175
452,11.1683
452.999,11.1622
454,11.1557
455,11.1484
456,11.1418
457,11.1358
458,11.1283
458.999,11.1221
460,11.1166
461,11.1089
461.999,11.1023
463,11.0961
464,11.0899
465,11.083
465.999,11.0766
467,11.0704
468,11.0643
469,11.0572
470,11.0507
470.999,11.0443
472,11.0383
473,11.0308
474,11.0239
474.999,11.0171
476,11.0114
477,11.0057
478,10.9994
478.999,10.9929
480,10.9854
481,10.9798
482,10.9733
483,10.9673
484,10.9598
484.999,10.9535
486,10.947
487,10.9404
488,10.935
489,10.9273
490,10.9211
491,10.9144
492,10.9074
492.999,10.9008
494,10.8961
495,10.8891
496,10.8825
497,10.8761
498,10.8693
499,10.8636
500,10.8567
501,10.8512
502,10.8452
502.999,10.8381
504,10.8325
505,10.8252
506,10.8202
507,10.8139
507.999,10.8051
509,10.8012
510,10.7949
511,10.788
512,10.7817
512.999,10.775
514,10.7694
515,10.7623
516,10.7572
517,10.7505
518,10.7434
519,10.7375
519.999,10.732
521,10.7262
522,10.72
523,10.7137
524,10.708
525,10.7015
526,10.6948
527,10.6889
528,10.6818
529,10.6766
530,10.6706
531,10.6644
532,10.6585
533,10.6525
534,10.6472
535,10.6399
535.999,10.6343
537,10.6286
538,10.6225
538.999,10.6155
540,10.6111
540.999,10.6049
542,10.599
542.999,10.5941
543.999,10.587
544.999,10.5818
545.999,10.5749
546.999,10.5689
547.999,10.5627
548.998,10.5571
549.999,10.5506
550.999,10.545
551.999,10.5381
552.999,10.532
553.998,10.5262
554.999,10.5214
555.999,10.5147
556.999,10.5081
557.999,10.5011
558.998,10.4948
559.999,10.4903
560.999,10.4834
561.999,10.4768
562.999,10.4703
563.999,10.4651
564.999,10.4575
565.999,10.452
566.999,10.4464
567.999,10.4393
568.999,10.4332
569.999,10.4283
570.999,10.4225
571.998,10.4161
572.998,10.4099
573.999,10.4047
574.999,10.398
575.999,10.3927
576.999,10.3859
577.999,10.3799
578.999,10.3752
579.999,10.3687
580.999,10.3626
581.999,10.3564
582.999,10.349
583.999,10.3444
584.999,10.3393
585.998,10.3328
586.999,10.3286
587.999,10.3217
588.999,10.3158
589.999,10.3098
590.998,10.304
591.999,10.2997
592.999,10.293
593.999,10.2869
594.999,10.2792
595.998,10.2757
596.999,10.2696
597.998,10.262
598.999,10.2568
599.999,10.2509
600.999,10.2451
601.999,10.2392
602.999,10.2335
603.998,10.2277
604.999,10.2203
635.177,10.0463
636.149,10.0388
637.086,10.035
638.028,10.0286
639,10.0256
639.999,10.0203
640.999,10.0145
641.999,10.009
642.999,10.0036
644,9.9979
645,9.9925
646,9.9857
647,9.9807
648.001,9.9734
649,9.9686
650,9.9624
651,9.9573
652,9.9514
653,9.9443
654,9.9402
655,9.9336
656,9.9267
657,9.9212
658.001,9.9161
659,9.9105
660,9.904
661,9.8983
662,9.8919
663,9.8863
664,9.8804
665,9.875
666,9.8686
667,9.8627
668,9.8561
669,9.8513
670,9.8455
671,9.8392
672,9.8334
673,9.828
674,9.8224
675,9.8185
676,9.8111
677,9.8057
